Isolate,BAPS,MLST,NGMAST,ngSTar
19AR0322,10,7363,9510,933
19AR0323,10,7363,2400,158
19AR0327,3,12041,21020,2835
19AR0328,5,6812,21012,4003
19AR0329,2,8156,5441,442
19AR0340,13,13266,12526,1804
19AR0341,3,12041,21020,4016
19AR0346,2,8156,18980,442
19AR0358,6,7359,4186,231
19AR0360,8,1583,15589,1340
19AR0361,10,7363,6360,158
19AR0362,11,14738,21040,1958
19AR0363,5,13915,21017,4006
19AR0364,5,13915,21001,1608
19AR0366,5,13915,21001,1608
19AR0367,8,10314,18791,1816
19AR0368,5,13915,21017,4006
19AR0369,5,13915,21017,4006
19AR0370,15,1601,21010,4010
19AR0371,6,7359,4186,231
19AR0372,14,7365,356,4005
19AR0373,13,13266,12526,1804
19AR0374,6,7359,4186,231
19AR0375,13,13266,12526,1804
19AR0376,5,13915,21007,4006
19AR0377,5,13915,21017,4006
19AR0378,6,7359,4186,231
19AR0379,6,7359,4186,231
19AR0380,15,1601,21010,4010
19AR0381,8,10314,18791,1816
19AR0382,15,1601,21010,4010
19AR0383,2,8156,13489,442
19AR0393,1,11864,5049,439
19AR0394,8,10314,21041,1816
19AR0396,1,11864,5049,439
19AR0397,8,1583,15589,1340
19AR0398,1,11864,5049,439
19AR0410,2,8156,13489,442
19AR0414,6,7359,4186,231
19AR0416,10,7363,2400,158
19AR0417,10,15001,2400,158
19AR0418,6,7359,15344,231
19AR0419,5,13915,21017,4006
19AR0424,3,12041,21020,2835
19AR0425,1,11864,5049,439
19AR0426,5,13915,21017,4006
19AR0441,3,12041,21042,2835
19AR0450,10,7363,2400,158
19AR0451,14,7365,356,4005
19AR0452,1,1580,13892,4015
19AR0454,10,7363,2400,158
19AR0455,5,13915,21017,4006
19AR0456,15,1601,21043,4019
19AR0458,10,15001,2400,158
19AR0459,5,13915,21017,4006
19AR0460,6,7359,4186,231
19AR0474,5,13915,21017,4006
19AR0516,15,1601,21010,4010
19AR1708,5,13915,21017,4006
